cost,num_common_edges,num_common_nodes,avg_common_edges,avg_common_nodes
73418,53,91,46.4264,88.4885
73428,55,91,46.2703,87.3283
73451,55,90,44.6176,87.5666
73292,60,93,47.6206,88.7447
76529,45,88,41.6807,86.1331
74997,52,90,43.0541,87.007
74258,49,89,42.7227,87.5375
73134,57,91,48.3273,89.1912
73448,57,92,46.8498,89.4154
75521,53,90,44.1321,87.1001
73845,57,92,46.4995,88.3153
74249,49,88,46.024,86.8739
74306,49,91,42.4354,88.1812
72207,50,86,45.5596,86.6647
75381,46,90,42.5996,87.7608
73590,55,93,47.5005,88.5796
75192,47,88,45.8649,86.4294
73408,46,90,44.1972,88.2893
73525,57,92,46.1271,87.9499
74088,50,90,43.7217,86.8258
74094,44,88,43.1992,86.0751
72964,59,91,46.5335,86.9309
73629,65,95,47.7618,89.1802
74217,53,91,44.6136,87.4705
73656,54,91,46.6216,88.3003
74481,43,86,45.3093,86.1632
72528,54,91,44.9169,87.4304
73633,48,87,42.1251,85.3544
73342,46,91,44.8168,88.4735
73953,60,91,47.1311,88.1562
72611,57,93,48.5916,89.4444
73562,46,90,44.5876,87.8488
73370,53,93,47.3433,88.7648
75465,54,90,44.4545,87.5105
75241,53,89,44.7207,87.6687
73309,59,91,46.5546,87.3403
74230,47,86,43.7347,85.9319
73069,54,94,46.7628,88.5686
73244,47,86,44.7157,87.3914
73699,42,87,42.039,87.1361
73215,57,91,46.1662,87.7377
75079,50,91,42.7588,88.0611
74189,58,92,43.9389,86.5656
73155,47,92,44.4434,88.2112
74751,49,89,43.5846,88.3874
73268,45,89,45.003,88.3994
74616,45,88,44.0711,86.9069
75413,48,89,41.977,87.7297
72784,54,91,46.6096,88.6436
73166,55,92,44.2893,88.5235
74610,50,89,44.2422,87.3243
73865,50,90,44.03,86.5756
73007,50,88,44.8889,86.8088
75257,44,88,41.1532,86.5415
75603,53,91,42.4044,88.0901
76690,52,87,45.1722,85.1441
72877,54,89,47.7528,88.4494
75437,52,90,42.2022,86.7778
74151,55,91,46.8539,88.6136
73038,59,94,48.4004,88.981
74603,52,88,44.6056,86.7127
74686,52,88,44.1762,87.9159
73651,55,94,46.5125,88.3844
75483,55,89,44.9099,86.7467
72145,58,92,46.8068,88.4965
73763,47,87,42.6897,86.1371
72120,60,93,48.0611,88.5075
73959,46,91,43.7548,88.8008
73940,53,87,45.3874,86.4725
75129,52,90,44.6767,88.2823
74198,55,91,45.8579,87.4885
74314,51,90,46.7668,88.3914
72837,53,92,47.3303,88.5115
74546,54,91,44.9489,86.6486
74997,55,94,43.8909,88.016
74260,53,91,45.1241,87.6997
73731,50,90,44.6306,87.978
73852,55,91,45.0851,88.1351
72028,52,90,46.2492,88.4404
72265,58,92,48.7798,87.8018
74889,46,88,43.2082,87.8398
73902,53,93,44.2432,88.6517
74618,53,92,42.3293,89.1872
75364,55,88,44.2833,86.4424
74721,47,87,43.6647,86.1091
75294,53,91,44.1862,86.8739
75655,53,89,44.8088,86.1712
72651,49,92,44.6667,88.7377
74678,48,87,45.049,87.3964
72367,58,94,48.3003,88.5365
73729,49,91,45.2162,88.7978
74278,41,90,43.3493,88.5546
73887,49,89,45.7187,88.4785
72738,54,94,46.7477,89.1101
74299,55,90,46.024,86.987
73026,57,93,45.988,89.1281
75762,46,88,44.5856,86.954
72894,53,91,46.4635,88.1261
75414,51,88,44.4545,85.5335
72624,53,91,46.1902,88.5005
72456,57,91,48.1602,88.8078
73265,64,94,47.8038,88.2893
76048,42,88,40.6096,87.0541
72865,52,93,47.6947,89.9479
72188,54,91,47.5185,88.4214
73139,51,90,44.4294,85.9349
73265,54,92,44.6857,88.4865
73524,50,92,44.6677,88.8138
73309,51,91,45.1692,88.7588
75520,48,89,42.7487,86.8008
73762,49,90,43.2392,87.4585
73112,50,90,45.8228,88.9309
74199,49,87,40.4845,85.3814
75229,46,88,42.8488,86.5866
73040,50,92,46.7838,89.2072
75567,46,91,44.4595,87.8639
72992,59,92,46.5165,87.7267
74225,51,89,43.8498,86.2983
74672,47,91,43.5195,86.971
74399,53,89,44.7848,86.9399
74562,55,90,42.7638,87.8358
72497,52,92,49.2342,88.8438
74147,55,92,43.8779,88.1221
74004,48,90,42.6917,87.2042
72623,56,94,45.8448,88.8689
75111,50,89,45.6587,87.4565
75120,50,90,45.3413,88.0571
75515,48,90,42.4895,86.3764
73959,57,93,46.4174,87.8068
75303,51,90,43.4915,87.1231
73717,58,92,46.3974,88.5005
75293,47,89,39.8789,85.8609
75026,48,88,45.2583,86.7427
72315,52,90,46.7808,87.5435
74667,52,91,45.2623,88.2953
74804,49,91,43.3634,88.7197
75758,47,88,41.2472,86.3904
73234,58,91,48.1421,87.6336
74531,56,92,45.4585,89.2513
75959,51,89,42.965,86.0591
73290,54,90,49.1642,87.5335
72467,48,87,43.6096,87.5876
73163,54,90,44.6446,87.7638
74927,52,93,44.1922,88.9299
74100,49,91,44.5095,86.9499
74000,51,89,45.5055,88.0801
73255,52,90,47.4985,87.4775
72478,60,91,47.9169,88.5506
73432,54,89,47.2713,87.6737
75190,51,86,45.3854,84.959
72501,57,90,48.6026,87.2492
74522,57,93,43.3003,87.0711
74732,53,93,42.3283,88.5355
72304,57,92,46.9279,88.4905
73841,55,91,45.5225,88.3674
73029,53,93,44.8639,88.3854
76032,46,87,43.3744,86.2242
73037,48,90,45.6196,88.5385
71773,57,93,48.8028,89.0681
75435,46,90,44.2553,88.048
72155,64,92,49.5646,89.3954
73808,55,90,44.956,86.6687
73231,57,93,45.5095,88.7768
73387,52,90,44.4274,87.6056
73208,47,92,43.03,89.3874
73412,64,93,47.2322,89.9339
74739,53,90,45.1922,87.2232
74438,50,92,43.3974,88.9389
73549,51,88,45.4835,87.4855
74024,49,90,45.1682,88.1121
75713,52,93,42.6667,88.3744
73453,52,91,44.2723,88.2072
72608,58,91,47.3493,87.989
73688,54,91,47.0881,87.7237
75293,49,91,41.9239,87.3103
74197,47,92,45.5856,89.1241
72124,57,93,46.8168,88.6056
73384,60,92,48.2052,88.2462
73970,49,93,45.4364,89.1652
74174,56,93,43.2042,87.8639
73539,61,91,45.1271,87.6807
72901,56,91,47.1752,87.5315
75472,54,89,42.4535,87.1111
74736,55,92,45.8919,88.5996
73215,54,93,46.037,87.993
74584,51,90,46.1632,87.992
75441,51,90,44.2643,86.8048
73847,54,89,43.2823,87.8579
73503,57,91,47.972,88.6126
74056,48,89,45.004,87.5676
74013,51,89,45.2683,87.4985
76873,50,87,44.2843,85.9049
75344,54,89,44.4074,87.3784
72644,57,94,47.2563,88.5616
73573,59,91,44.3684,86.8849
75274,44,90,41.3323,88.1742
73601,47,86,45.5055,86.5746
72560,56,91,47.956,89.2843
74041,48,90,44.5796,88.5956
74059,48,87,43.8689,86.8779
72690,55,92,47.017,89.037
73625,53,93,45.7638,88.2492
72726,58,89,48.4254,87.7628
73082,51,89,42.1091,87.4164
74200,51,87,46.5125,87.8118
75354,48,91,43.5025,88.7157
75338,43,88,41.5485,85.4515
75030,50,89,43.1932,86.8208
72940,57,91,46.8038,88.1632
72803,57,92,47.4334,88.3023
73160,52,92,46.6697,88.9219
72995,54,90,46.1872,88.7828
73851,60,92,47.6997,89.1812
73568,48,90,43.4394,87.991
71670,60,91,49.8438,88.6517
76538,48,89,40.9089,86.7888
73128,61,93,47.965,88.4204
74230,50,90,44.1972,88.4264
74524,55,89,46.5836,86.8048
74804,50,89,43.7588,88.3023
75441,43,90,42.3123,87.01
71939,58,93,49.5796,89.6917
73613,57,91,46.9069,88.7578
72704,58,92,47.4895,88.4985
73957,54,90,44.3023,88.0951
74596,51,90,43.2563,87.4354
74796,62,92,42.958,87.0891
73971,50,91,43.3954,87.6967
74638,53,88,46.014,86.0891
75838,46,88,42.7057,85.8358
74226,53,92,43.5596,88.03
72870,58,91,45.005,87.1792
75255,52,90,42.6657,86.8128
74788,47,86,42.5616,86.1642
72917,57,91,45.8298,88.6426
72233,56,93,48.9499,89.1411
74483,50,91,43.4945,88.1812
72579,59,91,47.5225,88.2112
74373,53,89,44.1672,86.7097
73548,56,91,44.2743,88.8168
74732,48,88,43.6897,85.98
73611,52,92,45.3203,88.4024
73226,51,92,45.7578,89.1371
73079,58,92,47.1011,88.7658
72684,53,91,46.6286,88.8639
75006,49,89,42.5115,87.7738
73135,55,91,48.4855,89.3604
73786,49,89,42.1311,86.5485
73494,53,90,42.8559,86.97
75563,49,89,44.4404,87.6627
74099,50,88,45.8218,87.2663
72162,55,93,46.2833,89.5275
74888,55,90,45.4034,87.3664
74856,46,85,42.7748,85.6727
72505,52,90,43.7047,86.981
73258,55,92,44.8458,88.4444
74052,53,90,46.8178,86.9129
74130,55,88,47.0641,87.0981
75485,56,89,45.4785,87.031
73854,50,90,45.9349,87.8959
74204,56,90,45.9119,88.2933
73153,57,91,46.7668,87.975
73781,47,89,41.4605,86.8939
74455,56,91,46.4595,88.6837
73512,58,90,48.0771,87.8839
76792,49,87,41.6436,85.964
