cost,num_common_edges,num_common_nodes,avg_common_edges,avg_common_nodes
48126,43,82,41.2402,82.0601
47825,49,85,43.7137,83.5806
45912,52,84,47.007,84.5245
48848,41,78,40.4965,81.008
46658,47,83,42.8959,84.2813
47597,45,89,41.0751,82.8478
47173,61,89,44.7387,85.2052
48979,34,80,36.6867,80.966
49084,51,87,39.8448,81.991
48593,41,81,43.6256,84.7247
48977,48,83,40.6476,82.951
47762,50,82,44.8138,84.03
50331,41,82,39.5455,81.4645
47578,45,82,43.4284,82.7598
47197,50,82,45.0541,83.2813
47878,45,85,39.6967,82.4394
48160,50,85,41.5756,83.028
47483,46,80,45.2072,82.6837
48345,49,86,41.7868,83.7528
48604,53,82,42.3443,83.2663
47718,52,85,45.2873,84.4244
49179,41,82,38.3043,84.0521
47678,54,88,44.1842,85.6987
50632,44,78,38.9069,79.7888
47646,50,86,44.6416,85.3243
48022,47,81,40.3574,81.4625
47728,47,82,45.3524,82.8408
49050,37,79,40.047,83.6146
48288,42,79,41.6637,79.952
47206,46,85,41.1612,82.9199
49351,39,80,42.6356,82.1552
47274,49,86,44.9289,84.6486
50204,43,81,39.5786,81.6056
48409,48,82,37.3574,79.3684
46868,48,82,43.5115,83.4484
47378,45,82,43.2032,84.1191
47457,46,86,43.2513,83.976
46860,46,82,46.3103,84.0591
47898,43,85,39.8759,83.02
48210,57,87,41.3834,81.7518
49905,45,82,41.7277,82.1091
48661,43,82,41.9049,81.048
46889,45,86,43.5145,85.4805
48450,57,84,43.4775,83.1892
50510,42,81,37.8719,82.8058
47726,42,80,40.5956,81.5015
48078,53,83,44.1952,82.8999
49582,45,83,38.035,81.7197
48046,49,82,43.5676,83.3754
47891,47,82,45.7848,82.7728
49153,42,83,41.7618,83.1592
48540,45,81,42.3944,82.2503
46160,54,84,46.033,83.2643
48529,52,84,42.1742,83.3463
48654,41,81,38.8198,81.3884
49438,38,79,39.8478,83.035
48235,58,83,42.4905,82.4645
48627,48,86,41.4905,83.6997
48126,44,80,41.1441,81.959
50041,47,86,37.9079,83.5896
46734,50,86,41.8819,82.3614
49809,44,84,40.3504,81.9439
49307,52,83,40.4655,79.5976
47538,59,85,43.1401,81.965
46823,53,85,43.7267,84.3463
49457,42,83,38.985,84.1451
52180,42,77,38.6286,80.1842
50495,42,81,38.5485,82.4985
47982,41,82,43.3363,83.981
47005,41,81,44.5105,84.2352
48739,48,80,43.1371,83.1792
46722,61,86,45.1211,83.8789
47132,57,86,45.3233,83.985
47673,47,81,42.044,83.6517
48491,41,81,40.4334,81.8859
48039,49,87,43.8589,84.4855
48199,45,80,42.6396,82.3874
49038,43,81,42.009,82.1982
50548,41,78,40.1191,81.8599
48275,42,82,43.5215,84.4394
48191,49,85,43.6006,84.8739
48316,45,85,41.6446,84.032
47782,46,85,42.6346,83.1562
47677,43,82,42.7578,82.7407
50165,36,77,35.9229,80.3253
49659,40,79,41.1101,82.9179
49486,43,81,41.2653,82.3794
49828,44,78,40.1922,80.8458
47849,43,81,42.5816,82.4094
48845,42,82,41.4064,82.9169
48250,42,84,38.1201,81.2052
48390,42,80,42.8058,82.6747
52125,39,79,37.2703,82.2633
48602,43,82,43.7267,84.2412
47807,54,85,42.6857,81.7758
47737,47,81,44.023,83.997
47570,52,86,43.6276,82.8809
49572,42,80,41.5726,82.6456
48331,45,84,39.7237,83.2032
48607,45,79,43.008,83.7798
47333,52,87,44.004,83.2983
48255,46,83,43.4364,84.6366
47718,45,84,43.7067,84.8268
48227,44,84,42.993,82.7898
48293,43,83,41.8178,83.2312
47500,44,86,42.8549,85.8048
48784,44,86,40.6156,83.3453
51550,51,77,40.976,78.983
47041,53,85,43.5065,82.0891
47044,54,86,41.5365,82.4134
47904,54,85,41.1622,81.8569
48875,46,80,39.7828,82.0541
48247,40,80,41.7568,83.7467
48440,42,83,40.8509,84.9139
48848,41,79,38.1351,79.961
48221,46,81,44.5666,83.6767
50192,41,82,38.2653,81.8268
45930,56,84,44.1181,83.8148
49509,43,81,41.3534,81.5345
47701,43,81,44.4284,82.9279
48681,42,80,41.3794,82.3924
47468,56,86,43.3363,84.2252
49529,44,83,40.4264,82.3894
47920,50,83,44.4875,84.2452
47748,43,85,43.031,83.8759
48954,43,81,42.0591,83.5235
48838,48,82,43.6146,84.0511
47863,52,84,40.6947,81.5756
48048,49,83,43.6346,84.6446
49843,35,78,39.6086,82.6396
48227,49,86,43.6426,82.9229
48393,46,81,43.2042,83.2382
46599,45,84,43.6076,84.7958
48173,48,85,40.4224,84.0951
49521,44,79,44.5385,83.983
47921,51,84,43.7698,83.7177
50804,45,80,40.1061,80.4755
47896,52,85,42.1071,81.0571
48289,43,81,43.0861,83.4384
48274,53,86,44.2943,84.8448
48714,47,80,42.9049,82.7878
48238,47,85,42.9009,85.7578
48759,45,82,41.3724,82.9249
49558,41,78,41.6587,82.015
46909,55,84,46.014,85.2092
50255,38,80,39.4214,81.7868
48437,54,86,43.3223,83.8659
47839,39,82,40.962,82.986
47992,47,80,44.3794,82.8899
48213,54,89,44.037,84.0741
48810,48,79,42.1772,80.8729
47605,48,82,42.8639,84.4124
48528,37,82,39.8599,82.8859
49220,43,85,40.5105,83.2503
47852,48,81,42.3333,84.1241
50053,38,80,37.6136,81.4044
47723,51,84,43.1562,83.8048
50062,39,78,39.4324,81.4344
47996,49,83,43.6166,83.3273
50264,47,82,39.3634,81.0651
48746,47,86,41.995,83.8078
47745,46,84,42.3273,83.1251
47405,42,79,41.7628,82.4294
46779,55,86,44.6326,83.0991
48861,49,83,41.9439,84.1281
47997,48,88,42.2392,85.1391
50165,39,81,38.8438,82.6196
48236,54,87,41.5255,83.4264
50648,46,78,39.1171,79.8238
46798,51,81,43.2943,80.8989
50554,40,81,39.9049,83.7027
50997,42,80,38.4154,80.3083
47898,48,82,42.7708,82.7277
50678,45,82,38.5485,81.7668
48833,46,78,42.7668,81.0871
49104,45,87,40.021,83.2623
48847,40,80,41.8378,83.985
48344,40,81,41.2573,82.5005
47632,44,86,43.0991,84.3423
47764,50,85,41.9109,81.0651
48097,44,82,44.2733,84.3774
50125,42,79,38.988,80.4905
47978,43,83,43.4234,83.5826
49229,43,80,40.3103,82.7648
48564,51,87,40.9319,82.9009
48100,48,82,43.6607,83.024
47276,48,84,43.4314,85.1572
47789,47,84,42.1832,82.1692
46951,55,84,44.2553,84.042
48712,53,83,42.5425,84.3383
48056,47,87,41.4645,84.5465
51115,36,74,37.8809,79.1261
49267,53,84,43.7477,83.7037
49698,47,84,40.2012,83.6196
48509,49,82,42.2983,82.9469
50177,39,83,37.6496,83.5395
47548,45,85,41.6336,84.5135
49827,46,79,41.0611,81.1852
47428,53,88,41.003,83.998
48683,42,78,42.4214,82.1872
47881,51,85,42.7387,82.6286
48583,50,81,43.3884,82.4515
51390,44,80,39.0801,80.3113
47045,44,83,44.3784,84.3353
48136,43,85,42.964,84.6567
48824,43,81,42.9339,84.7738
49204,46,85,40.5576,81.975
48610,48,84,43.2803,83.7287
48278,47,82,40.8308,81.2452
48067,47,81,42.3353,84.4635
49409,48,82,41.7698,82.3443
48916,45,87,40.5015,82.3073
47624,46,82,43.0821,83.98
49475,46,83,38.7117,80.971
47426,46,82,42.5576,83.018
47458,45,85,43.2523,84.2242
50036,41,81,38.04,82.3223
49473,38,79,42.2232,83.042
48239,52,80,42.7798,82.7938
49297,49,81,40.6096,80.8669
48291,43,80,40.1642,81.5485
49684,45,79,42.023,80.7678
49290,41,80,42.0511,82.8428
47589,53,86,43.4034,82.8689
50018,49,78,41.1792,78.6877
48177,45,79,42.7788,82.4775
49687,45,80,40.8228,82.5455
48004,47,83,44.5185,84.1181
48632,47,86,42.6927,85.3754
48524,49,81,44.4515,83.9339
48796,46,80,42.6667,82.8659
48302,40,79,41.4494,80.043
49763,39,81,38.6537,81.7778
48105,48,81,42.7417,82.7938
49525,48,84,41.006,83.2292
46864,45,83,44.1111,85.2653
51427,41,76,38.1662,80.9449
50375,43,74,41.2853,80.6296
47764,57,84,45.9039,84.0671
48856,49,84,42.1451,82.4985
49002,42,82,42.8358,83.6707
48295,46,82,43.995,83.4474
48402,43,82,44.3664,83.7698
49063,43,87,40.3433,84.4525
48975,45,83,41.8328,83.6466
48111,45,84,43.9379,84.2613
47374,41,83,43.9279,84.018
47561,49,86,44.3924,84.7968
49499,39,78,39.3483,81.4174
49068,43,80,40.2733,82.7307
48545,47,84,41.5065,82.1772
48164,47,83,42.2773,83.0951
48442,51,85,42.6376,83.3974
50485,50,78,42.3984,81.6637
46409,48,84,46.0621,83.8779
48110,49,84,41.8899,82.2713
50342,48,84,40.2162,80.9089
48851,54,82,41.5546,81.0881
48456,51,84,42.7958,82.3233
48752,49,83,41.1912,82.5626
48056,43,86,44.035,85.5816
49156,43,79,40.5245,81.5996
47832,35,81,41.8208,85.3203
47519,48,83,43.6777,83.2623
48160,59,85,44.4595,83.4545
48906,40,77,42.02,81.5936
48267,48,85,42.5676,84.2282
51307,44,76,39.9069,79.2613
50393,36,79,39.2603,81.8919
48879,42,83,42.027,83.7748
48974,43,82,41.8579,85.1401
47412,44,84,41.4154,82.2242
48198,47,86,42.9329,83.4985
47689,52,87,42.2442,83.3103
